"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
40,"1000000000","1111111110","0101010101","1111111111",0.464844,0.008454,0.008728,0.004947,0.003781,0.0,0.0,"⎛ H ⎞⎛       B,D,F       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
41,"1000000000","1111111110","0101010101","0111011101",0.035156,0.004446,0.004734,0.004712,2.2e-05,0.0,0.0,"⎛ H ⎞⎛    B,D,F    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
42,"1000000000","1111111110","0101010101","0101010101",0.003906,0.021439,0.021821,0.021792,2.9e-05,0.0,0.0,"⎛ H ⎞⎛  B,D,F  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
43,"1000000000","1111111110","0101010101","1010101010",0.001953,0.003481,0.003646,0.003646,0.0,0.0,0.0,"⎛ B ⎞⎛   D,F,H   ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
44,"1000000000","1111111110","1010101010","1111111111",0.458984,0.023627,0.023951,0.02395,1e-06,0.0,0.0,"⎛ E ⎞⎛      A,C,G,I      ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
45,"1000000000","1111111110","1010101010","0111011101",0.035156,0.013355,0.013517,0.013517,0.0,0.0,0.0,"⎛ C ⎞⎛   A,E,G,I   ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
46,"1000000000","1111111110","1010101010","0101010101",0.0,0.006427,0.006576,0.002563,0.004013,0.0,0.0,"⎛ G ⎞⎛ A,C,E,I ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
47,"1000000000","1111111110","1010101010","1010101010",0.027344,0.01157,0.011815,0.011785,3e-05,0.0,0.0,"⎛ I ⎞⎛  A,C,E,G  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
48,"1010101010","1111111111","1111111111","1111111111",0.478516,0.00486,0.004906,0.004906,0.0,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
49,"1010101010","1111111111","1111111111","0111011101",0.016602,0.003961,0.004029,0.004029,0.0,0.0,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
50,"1010101010","1111111111","1111111111","0101010101",0.000977,0.024276,0.024611,0.016667,0.007944,0.0,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
51,"1010101010","1111111111","1111111111","1010101010",0.016602,0.002305,0.002446,0.002446,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
52,"1010101010","1111111111","0111011101","1111111111",0.490234,0.006065,0.006081,0.006019,6.2e-05,0.0,0.0,"⎛ B ⎞⎛     C,D,F,G,H,J     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
53,"1010101010","1111111111","0111011101","0111011101",0.016602,0.003693,0.003751,0.003751,0.0,0.0,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
54,"1010101010","1111111111","0111011101","0101010101",0.000977,0.006679,0.006782,0.006772,1e-05,0.0,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
55,"1010101010","1111111111","0111011101","1010101010",0.030273,0.001986,0.00202,0.00202,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
56,"1010101010","1111111111","0101010101","1111111111",0.490234,0.010059,0.010226,0.01016,6.6e-05,0.0,0.0,"⎛ B ⎞⎛       D,F,H,J       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
57,"1010101010","1111111111","0101010101","0111011101",0.016602,0.007183,0.00728,0.00728,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
58,"1010101010","1111111111","0101010101","0101010101",0.000977,0.012032,0.012165,0.012165,0.0,0.0,0.0,"⎛ F ⎞⎛  B,D,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
59,"1010101010","1111111111","0101010101","1010101010",0.030273,0.007196,0.007359,0.007359,0.0,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
60,"1010101010","1111111111","1010101010","1111111111",0.464844,0.005545,0.005589,0.005542,4.7e-05,0.0,0.0,"⎛ E ⎞⎛      A,C,G,I      ⎞\n⎝ C ⎠⎝ A,B,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
61,"1010101010","1111111111","1010101010","0111011101",0.020508,0.023056,0.023374,0.01946,0.003914,0.0,0.0,"⎛ C ⎞⎛    A,E,G,I    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
62,"1010101010","1111111111","1010101010","0101010101",0.008789,0.003283,0.00334,0.00334,0.0,0.0,0.0,"⎛ G ⎞⎛  A,C,E,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
63,"1010101010","1111111111","1010101010","1010101010",0.016602,0.003349,0.003403,0.003403,0.0,0.0,0.0,"⎛ A ⎞⎛  C,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
64,"1010101010","0111111111","1111111111","1111111111",0.478516,0.018707,0.018953,0.018953,0.0,0.0,0.0,"⎛ E ⎞⎛  B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
65,"1010101010","0111111111","1111111111","0111011101",0.001953,0.020251,0.020525,0.020525,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
66,"1010101010","0111111111","1111111111","0101010101",0.015625,0.007423,0.00757,0.00757,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
67,"1010101010","0111111111","1111111111","1010101010",0.015625,0.002023,0.002046,0.002046,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
68,"1010101010","0111111111","0111011101","1111111111",0.490234,0.014388,0.014531,0.014504,2.7e-05,0.0,0.0,"⎛ B ⎞⎛    C,D,F,G,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
69,"1010101010","0111111111","0111011101","0111011101",0.001953,0.012855,0.01298,0.012967,1.3e-05,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
70,"1010101010","0111111111","0111011101","0101010101",0.015625,0.002112,0.002133,0.002133,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
71,"1010101010","0111111111","0111011101","1010101010",0.015625,0.006318,0.006475,0.006455,2e-05,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
72,"1010101010","0111111111","0101010101","1111111111",0.490234,0.004263,0.004303,0.004302,1e-06,0.0,0.0,"⎛ B ⎞⎛      D,F,H,J      ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
73,"1010101010","0111111111","0101010101","0111011101",0.240234,0.007973,0.008053,0.004059,0.003994,0.0,0.0,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
74,"1010101010","0111111111","0101010101","0101010101",0.015625,0.006615,0.006711,0.006711,0.0,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
75,"1010101010","0111111111","0101010101","1010101010",0.015625,0.008997,0.009265,0.009265,0.0,0.0,0.0,"⎛ J ⎞⎛ B,D,F,H ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
