"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
42,"1000000000","1111111110","0101010101","0101010101",0.003906,0.039388,0.039875,0.039875,0.0,0.0,0.0,"⎛ H ⎞⎛  B,D,F  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
43,"1000000000","1111111110","0101010101","1010101010",0.001953,0.054312,0.054707,0.050728,0.003979,0.0,0.0,"⎛ B ⎞⎛   D,F,H   ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
44,"1000000000","1111111110","1010101010","1111111111",0.458984,1.023655,1.024198,1.016192,0.008006,0.0,0.0,"⎛ E ⎞⎛      A,C,G,I      ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
45,"1000000000","1111111110","1010101010","0111011101",0.035156,0.159754,0.16027,0.160265,5e-06,0.0,0.0,"⎛ C ⎞⎛   A,E,G,I   ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
46,"1000000000","1111111110","1010101010","0101010101",0.0,0.006577,0.006846,0.006819,2.7e-05,0.0,0.0,"⎛ G ⎞⎛ A,C,E,I ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
47,"1000000000","1111111110","1010101010","1010101010",0.027344,0.084971,0.08537,0.08537,0.0,0.0,0.0,"⎛ I ⎞⎛  A,C,E,G  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
48,"1010101010","1111111111","1111111111","1111111111",0.478516,84.553343,84.549719,83.826206,0.723513,130.043,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
49,"1010101010","1111111111","1111111111","0111011101",0.016602,10.577709,10.577534,10.50159,0.075944,0.0,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
50,"1010101010","1111111111","1111111111","0101010101",0.000977,2.66912,2.669983,2.649951,0.020032,0.0,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
51,"1010101010","1111111111","1111111111","1010101010",0.016602,2.700204,2.701036,2.657082,0.043954,0.0,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
52,"1010101010","1111111111","0111011101","1111111111",0.490234,8.920953,8.919917,8.819864,0.100053,0.0,0.0,"⎛ B ⎞⎛     C,D,F,G,H,J     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
53,"1010101010","1111111111","0111011101","0111011101",0.016602,1.114407,1.114704,1.106684,0.00802,0.0,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
54,"1010101010","1111111111","0111011101","0101010101",0.000977,0.313846,0.314464,0.30646,0.008004,0.0,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
55,"1010101010","1111111111","0111011101","1010101010",0.030273,0.300919,0.301173,0.301173,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
56,"1010101010","1111111111","0101010101","1111111111",0.490234,2.137998,2.137946,2.125966,0.01198,0.0,0.0,"⎛ B ⎞⎛       D,F,H,J       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
57,"1010101010","1111111111","0101010101","0111011101",0.016602,0.301423,0.302159,0.298182,0.003977,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
58,"1010101010","1111111111","0101010101","0101010101",0.000977,0.103841,0.104527,0.100537,0.00399,0.0,0.0,"⎛ F ⎞⎛  B,D,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
59,"1010101010","1111111111","0101010101","1010101010",0.030273,0.095252,0.095937,0.091944,0.003993,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
60,"1010101010","1111111111","1010101010","1111111111",0.464844,2.193774,2.194472,2.178435,0.016037,0.0,0.0,"⎛ E ⎞⎛      A,C,G,I      ⎞\n⎝ C ⎠⎝ A,B,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
