"indice","estado","condicion","alcance","mecanismo","perdida","tiempo","particion","plataforma"
55,"1010101010","1111111111","0111011101","1010101010",0.004162,0.0636,"⎛ B ⎞⎛ C,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
56,"1010101010","1111111111","0101010101","1111111111",0.068768,0.1108,"⎛ D ⎞⎛       B,F,H,J       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
57,"1010101010","1111111111","0101010101","0111011101",0.019802,0.0641,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
58,"1010101010","1111111111","0101010101","0101010101",0.032183,0.0633,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
59,"1010101010","1111111111","0101010101","1010101010",0.004162,0.0583,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
60,"1010101010","1111111111","1010101010","1111111111",0.022571,0.1112,"⎛ A ⎞⎛       C,E,G,I       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
61,"1010101010","1111111111","1010101010","0111011101",0.032457,0.064,"⎛ E ⎞⎛    A,C,G,I    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
62,"1010101010","1111111111","1010101010","0101010101",0.009393,0.0638,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
63,"1010101010","1111111111","1010101010","1010101010",0.017311,0.0367,"⎛ E ⎞⎛  A,C,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
64,"1010101010","0111111111","1111111111","1111111111",0.043889,0.1911,"⎛ D ⎞⎛  B,C,E,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
65,"1010101010","0111111111","1111111111","0111011101",0.027178,0.1272,"⎛ B ⎞⎛ C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
